2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01
BLD,BLD,BSL,CFX,TOL,CFX,MTS,TTS,TTS,COH,ALQ,ALQ,CIM,CFX,TTS,AWC,OZL,RHC,FDC,TOL,FDC,QAN,FDC,MTS,CIM,TWE,TWE,FDC,SEK,FDC,QAN,SEK,QAN,QAN,ARB,MGX,GWA,NUF,NUF,FXL,SXL,MRM,BRG,ABP,MSB,MRM,MSB,GXL,WSA,AHY,AHY,ARB,AHY,GUD,MND,PGH,SIR,GMA,SWM,SFR,SIG,SAI,BGA,MYR,ALG,SWM,TME,CTD,AHG,PTM,TME,SBM,ALG,SXL,WEB,WEB,ARB,NWS,NWS,MMS,BRG,MMS,SAR,BGA,ARB,MYO,NWS,BKW,BKW,MND,BAL,MND,BKW,BKW,BKW,IVC,MND,MND,GEM,TME,PTM,PTM,PTM,CUV,MND,JHG,BRG,NSR,BKW,WEB,SLR,AVH,CGC,URW,ARB,APE,IVC,CTD,SGM,SBM,VEA,PNV,EML,PNV,ELD,PNV,ORE,RRL,CQR,BLD,SUL,HUB,BLD
SGM,ILU,BLD,TOL,DXS,CPU,TTS,ALQ,ALQ,MCC,TTS,COH,TOL,JHX,JHX,BLD,MTS,TWE,OZL,TWE,ALQ,SGR,QAN,BLD,MTS,CIM,MTS,ALQ,FDC,MTS,MTS,MTS,TWE,TWE,BRS,PMV,VRT,PMV,SRX,SXY,ABP,SIR,BKN,MRM,ABP,PGH,VED,AWE,MSB,AWE,GMA,PGH,GMA,REG,MSB,REG,CVO,CVO,FXL,OFX,SAI,MYR,ALG,MIN,CTD,BPT,MMS,MMS,PGH,PGH,SXL,SAI,APO,WEB,APO,GUD,SVW,GUD,SVW,NWS,TNE,ABP,MMS,NWS,GEM,SUL,SFR,NWS,PTM,PLS,LYC,SUL,APX,BIN,MND,TME,IEL,IEL,TME,GEM,TME,GEM,CCP,PTM,NWS,WEB,BKW,LYC,NWS,APE,BKW,BKW,NWS,NWS,NUF,FLT,IPH,NAN,NWL,CGC,CGC,BGA,PDL,CIA,NSR,VEA,DRR,BPT,CNI,IPH,BWP,SUL,WPR
BEN,BEN,CFX,CIM,CPU,DXS,BEN,TOL,CIM,ALQ,MTS,TOL,JHX,MTS,CFX,SGR,CIM,MTS,MTS,MTS,BEN,ALQ,TOL,TOL,FDC,MTS,CIM,MTS,MTS,ALQ,BLD,TWE,BLD,BLD,AWE,MRM,AWE,VRT,GWA,ABP,MRM,FXL,KAR,BRG,NUF,MSB,PGH,ARB,GXL,BRS,BRS,GMA,AWE,MTR3,GUD,MSB,GUD,AHY,API,PGH,SFR,ABP,PBG,AHG,TME,TME,ACX,SWM,NWS,BKW,SAI,BKW,VVR,MYR,ARB,SFR,PTM,MMS,PTM,GUD,BPT,SAR,BKW,BRG,MMS,NWS,GXY,PLS,MMS,WEB,PTM,PLS,SUL,ARB,TNE,CMW,IVC,FBU,HLS,LYC,NUF,CCP,PMV,NAN,FBU,ARB,CTD,JHG,AVH,HLS,ABP,ELD,LYC,SGM,INA,SUL,CGC,PNV,VEA,ELD,IVC,ELD,IVC,IRE,CGC,PRU,PNV,CQR,SUL,CHN,CNI,BWP,BKW
CFX,ARI,TOL,DXS,MGR,MGR,CIM,CIM,LYC,CIM,TOL,AWC,CFX,BEN,MTS,OZL,SGR,SGR,TOL,RHC,TWE,BLD,RHC,ALQ,TWE,QAN,QAN,TWE,ILU,BLD,ALQ,ALQ,FDC,FDC,AHG,ARB,MGX,AWE,ABP,ARB,ARB,AQP,SIR,MSB,SDF,VED,KAR,FXL,ARB,MND,ARB,GXL,PGH,PGH,CVO,GUD,MYR,PBG,CVO,ABP,ABP,GMA,SYR,SBM,BGA,ALG,MTR3,WHC,SXL,NWS,WEB,ALG,SBM,BKW,NWS,ARB,WEB,VVR,BGA,BPT,GUD,BKW,SUL,SAR,NWS,INM,BRG,SFR,NWS,MMS,SDA,SDA,MMS,TNE,MMS,BKW,PLS,NHC,NUF,PTM,GEM,NEA,GEM,CLW,ABP,ABP,ABP,ARB,SUL,NWS,MND,NWS,CQR,HLS,SGM,IVC,NWS,IVC,PPT,CMW,SBM,WEB,RRL,BKW,DRR,BKW,WEB,WEB,HUB,HUB,BKW,LIC,BPT
CWN,CFX,DXS,CPU,GMG,COH,BLD,MTS,MTS,TTS,CIM,BEN,BEN,TTS,AWC,CIM,JHX,TOL,BEN,SGR,SGR,MTS,ALQ,BEN,TOL,TOL,BLD,BLD,COH,QAN,FDC,BLD,COH,COH,MGX,ABP,IGO,MMS,ARB,AHG,AHG,BKN,VRT,SXL,PGH,NST,CVO,ARI,AHY,FXL,HT1,WSA,WSA,MSB,MYR,MYR,MYX,ISD,MSB,GMA,TME,TME,CTD,MMS,SFR,PGH,CTD,NWS,SAR,ALU,MYR,ALU,WEB,APO,VVR,NWS,NWS,ABP,MND,WEB,AOG,BRG,SYR,ORE,LYC,SAR,BKW,WEB,MYO,BKW,PLS,LYC,MND,MYO,ARB,MND,APX,BKW,NHC,BKW,ING,SUL,IPH,ABP,CTD,PNV,MND,ABP,HLS,LYC,NWS,ING,ARB,JHG,RSG,INA,BKW,CGC,IVC,IVC,CMW,IVC,NWS,NWS,APX,SLR,HUB,CCP,INA,INA,PBH,IPH,BWP
ILU,BSL,SHL,MGR,COH,SHL,LYC,CFX,BEN,TOL,COH,OZL,MTS,TOL,CPU,CFX,TTS,APA,TWE,ALQ,APA,TOL,BEN,TWE,BLD,BEN,BEN,COH,TWE,COH,COH,FDC,ALQ,ALQ,SRX,IGO,SXY,SRX,VRT,DLS,SXY,SFR,NST,PGH,VED,A2B,VRT,MSB,FXL,MSB,PNA,MMS,BRS,BRS,REG,MYX,AHY,MYX,LNG,RRL,GMA,SWM,PGH,SFR,ACX,CTD,MYR,AHG,ALU,WEB,RSG,SXL,NWS,ALG,A2M,MYR,MMS,SFR,SIG,BKW,ABP,NXT,BRG,ABP,SUL,LYC,WTC,MYO,SDA,GXY,GUD,GUD,GUD,PLS,NEC,BGA,HLS,PMV,PLS,CNU,NEA,NUF,CLW,NWS,NSR,BKW,NSR,SUL,ARB,SLR,ARB,UMG,SGM,BKW,SUL,SGM,GOR,CIM,CGC,BKW,SUL,VEA,PNV,NUF,NWS,DRR,INA,PBH,ELD,SUL,CIP,PPT,PRU
TOL,CWN,CIM,GMG,SHL,OZL,CFX,BEN,TOL,OZL,CPU,CFX,TTS,COH,COH,TTS,CFX,JHX,RHC,BEN,TOL,BEN,MTS,RHC,BEN,BLD,ALQ,ILU,BLD,TWE,TOL,COH,SEK,SEK,SKE,PBG,ABP,ABP,AHG,GWA,VRT,SXL,SDF,BRS,CVO,VRT,MMS,BKN,TNE,VRT,MSB,BRS,BTT,AWE,GMA,BTT,MSB,MSB,RRL,REG,CTD,CTD,MMS,TME,SYR,BGA,BPT,PGH,BGA,SXL,NWS,ECX,IPH,NWS,BKW,SRX,VVR,BPT,MMS,PGH,NWS,TNE,ABP,SUL,BRG,NEC,LYC,ACX,WEB,SUL,BKW,BKW,BGA,MMS,BRG,GXY,NSR,ABP,FBU,HLS,CNU,ARB,ABP,CCP,VVR,SUL,CUV,PRN,NSR,CTD,CNU,PTM,ING,PTM,WHC,NUF,INA,NWL,BKW,SLR,PME,BKW,NAN,EML,VEA,ELD,ELD,VEA,PRU,BWP,PRU,BKW,SUL
DXS,TOL,CPU,SHL,OZL,GMG,TOL,CPU,CFX,BEN,CFX,QAN,OZL,CPU,OZL,MTS,CWN,QAN,APA,APA,MTS,APA,TWE,ILU,QAN,ALQ,COH,CFX,TOL,CFX,TWE,TOL,TOL,TOL,BCI,LYC,MMS,AHG,LYC,MGX,DLS,AQA,SXY,SEA,AQP,CVO,BRG,TNE,AWE,MMS,MMS,BRG,BRG,HT1,AHY,CVO,JHC,TGR,PBG,MYO,PGH,SFR,ABP,BGA,AHG,MYR,ECX,MTR3,BAL,BGA,AHG,SFR,ALU,A2M,ECX,SVW,BRG,ALU,ALU,NEC,TME,ECX,MTR3,NEC,BGA,SFR,MYO,BGA,BGA,SDA,IEL,PTM,IEL,SUL,PLS,FBU,NHC,PLS,PTM,NUF,IPH,CNU,NWS,NEA,ASB,ASB,JHG,CNU,NWH,JHG,WEB,BGA,BKW,FBU,BKW,BKW,CTD,WEB,VUK,CCP,BKW,SBM,BKW,NIC,BKW,WEB,PRU,CIP,VEA,ELD,INA,BPT,PDL
BSL,DXS,COH,COH,LLC,AIO,CPU,LYC,CPU,MTS,BEN,CPU,QAN,CIM,CIM,JHX,QAN,CWN,CPU,CWN,RHC,RHC,TTS,CPU,RHC,RHC,CFX,QAN,RHC,BEN,WOR,JHX,BEN,BEN,WPP,AHG,SFR,TEN,SFR,SFR,SFR,VAH,AQA,AQP,MMS,BRG,A2B,CVO,OFX,PNA,BRG,BTT,JHC,SHV,RFG,MND,MIN,GOZ,GUD,ASB,FXL,PBG,SAI,CTD,PGH,ABP,NWS,SKC,SKC,SAI,ECX,BAL,SYR,VVR,SVW,SXL,NXT,BRG,BRG,ALU,SIG,NWS,IPH,BKW,BKW,GXY,INM,BRG,FBU,NWS,MYX,MMS,BRG,GUD,NSR,APX,CNU,NSR,BKL,IPH,LYC,ING,CNU,BKW,ARB,NSR,VVR,ASB,PTM,PTM,GOR,SGM,PME,PME,EML,CCP,SGM,INA,PRU,SUL,PRU,NUF,CIM,DRR,WEB,HUB,RRL,ELD,RRL,CUV,ELD,WPR,LIC
GMG,MGR,MGR,LLC,QAN,QAN,CWN,MGR,QAN,QAN,AWC,CWN,ALQ,OZL,TOL,CWN,COH,CPU,CWN,CPU,CWN,TWE,CPU,CFX,ALQ,CFX,RHC,TOL,QAN,WOR,BEN,IPL,IPL,IPL,TRS,AWE,ARB,MRM,TEN,VRT,GWA,DLS,PGH,SDF,GWA,HT1,GWA,KAR,RRL,BRG,VRT,JHC,MMS,GMA,BRS,MTR3,MTR3,MIN,OFX,TME,JHC,FXL,EHE,ACX,MMS,ACX,ABP,BGA,ECX,NXT,ALG,APO,AHG,SYR,SPO,VVR,ABP,MND,NEC,NXT,SFR,TME,NWS,PGH,ABP,BRG,BGA,MTR3,ORE,FBU,NWS,SFR,LYC,APX,PTM,PTM,MYX,MMS,ARB,NWS,BKW,BKW,CGC,GEM,BKW,VVR,ARB,ABC,EML,AVH,AVH,LYC,ASB,SUL,CGC,CGC,CIP,PME,IPH,NWL,KGN,CMW,NUF,IVC,NUF,CMW,BGA,IPH,CIP,CIA,IPH,JHG,PDN
CIM,GMG,ILU,WES,AIO,LLC,COH,COH,CWN,CFX,QAN,LLC,COH,ALQ,QAN,COH,CPU,CFX,JHX,JHX,TTS,CWN,CWN,TTS,CFX,ILU,TOL,BEN,CPU,JHX,JHX,CFX,CFX,CFX,SEA,SFR,AHG,ARB,MMS,KAR,SIR,AGO,OFX,VRT,SEA,SEA,NST,NST,VRT,RRL,AWE,SXL,CVO,CVO,FXL,FXL,RFG,WHC,MIN,MIN,OFX,API,JHC,PGH,ABP,SKC,SXL,ALG,ACX,BPT,MTR3,NWS,GUD,RSG,AHG,BGA,ECX,PTM,SAR,ALG,NEC,NEC,NEC,MTR3,SFR,BGA,SDA,TNE,PGH,BGA,BGA,BGA,PTM,BRG,GUD,ARB,SFR,MYX,CNU,PLS,NWS,CGC,BKW,RSG,ABC,NWS,SUL,VVR,PNV,ARB,BIN,BKL,BGA,BVS,JHG,WHC,NUF,CIP,NAN,IPH,SLR,NWL,VEA,WHC,CMW,CIP,WHC,INA,DRR,AUB,NIC,ELD,WEB
MGR,CIM,GMG,QAN,SYD,WES,QAN,CWN,OZL,CPU,CWN,DXS,CPU,QAN,SYD,TOL,LLC,TTS,TTS,COH,JHX,CPU,CFX,JHX,ILU,SYD,TTS,RHC,CFX,TTS,ILU,BEN,JHX,JHX,AGI,VAH,PBG,SXY,DLS,WSA,KAR,MMS,AQP,GWA,A2B,MMS,OFX,OFX,GWA,HT1,RRL,AWE,VRT,AHY,WSA,JHC,FXL,OFX,MYX,FXL,REG,SKC,SKC,ABP,MYR,SAR,SKC,SFR,APO,AHG,SAR,WEB,GXY,GMA,MND,MMS,BGA,ALG,VVR,AOG,MYX,GUD,GUD,GUD,PGH,FBU,SYR,PGH,WTC,ORE,MMS,NWS,PLS,IEL,IEL,NWS,PTM,SFR,SFR,ABP,NAN,IPH,NUF,ARB,GOZ,MMS,ASB,PTM,ABP,ABP,PTM,MND,PTM,BGA,OBL,NWS,WEB,GOR,INA,NWS,ELD,CGC,CMW,MP1,IVC,INA,CIP,AUB,CDA,VEA,CUV,DRR,HUB
SHL,COH,LLC,AIO,WES,SYD,DXS,DXS,MGR,CWN,OZL,GMG,CWN,CWN,CWN,CPU,TOL,COH,ALQ,TTS,CPU,TTS,JHX,CWN,CPU,TTS,JHX,TTS,JHX,RHC,CFX,TTS,TTS,TTS,TEN,BDR,LYC,PBG,MGX,MMS,MMS,BRS,VRL,VRL,VRT,VRL,VRL,GWA,SXL,ARI,ARI,CVO,KAR,SFR,MTR3,AWE,GOZ,LNG,WHC,CTD,PBG,REG,API,SKC,AHY,AHG,BGA,ECX,MMS,ECX,ALU,GUD,ECX,ALU,SXL,APO,ALU,BGA,ABP,SXL,SXL,AOG,TNE,SDA,SIG,BKW,ACX,ORE,GUD,IEL,APX,MYO,APO,SFR,SFR,NSR,ABP,NWS,NWS,ARB,CCP,ABP,ARB,ASB,SUL,PTM,MMS,GOZ,ABC,ABC,LYC,JHG,MND,APE,FBU,SPK,EML,SGM,FBU,PME,BGA,KGN,SBM,CMW,CIP,RMS,IPH,CNI,AUB,CIP,VEA,AUB,ELD
COH,SHL,OZL,SYD,TAH,TAH,MGR,QAN,DXS,AWC,SHL,SHL,LLC,LLC,ALQ,MGR,SYD,ALQ,COH,CFX,COH,JHX,COH,AIO,JHX,JHX,SYD,JHX,TTS,ILU,TTS,WOR,ILU,ILU,WTF,BRS,BDR,SFR,WSA,VAH,VAH,GWA,VED,VED,BRG,SFR,SEA,VRL,ARI,OFX,JHC,VRT,AAC,WSA,AWE,RFG,CTD,RRL,ISD,SXL,SWM,OFX,ISD,SAI,SKC,SFR,AHY,SXL,SFR,MYR,NXT,ORE,A2M,ECX,MMS,NXT,APO,SIG,SRX,BRG,PGH,SFR,FBU,TNE,WEB,SDA,PGH,GUD,MTR3,GUD,APT,IEL,SFR,PTM,SUL,GUD,BGA,CNU,ABP,BKL,ARB,NWS,ING,CGC,CUV,RSG,NWS,CUV,JHG,BVS,GOZ,BVS,ABC,EML,ABC,EML,NWL,NUF,CIP,INA,WHC,BIN,BIN,CIP,HUB,NUF,VEA,CMW,IVC,PRU,CIA,PBH,AUB
LLC,CPU,WES,TAH,ILU,GPT,OZL,OZL,COH,LLC,DXS,MGR,SYD,SYD,LLC,QAN,MGR,LLC,CFX,ILU,CFX,COH,APA,COH,TTS,CPU,ILU,CPU,BEN,FMG,LLC,CPU,CPU,CPU,DLS,BCI,BCI,LYC,BDR,BCI,NST,KAR,SXL,SXY,VRL,GWA,HT1,BGA,HT1,AAC,BTT,GUD,GXL,BTT,HT1,GOZ,OFX,BGA,CTD,SKC,MYO,WOR,AHY,GMA,MYO,SXL,AHG,ABP,GUD,BAL,MYO,AHG,SFR,AHG,GUD,BRG,SFR,NEC,SFR,SFR,SYR,MYX,PGH,CCP,FBU,ACX,GEM,WTC,GWA,PGH,SUL,SIQ,TNE,APO,TME,IEL,ARB,ING,LYC,VVR,SUL,BKL,VVR,CNU,MMS,GOZ,PTM,BIN,INA,NWH,JHG,ASB,CTD,MND,NWS,PTM,CCP,AUB,AUB,JHG,JHG,INA,PRU,NAN,NAN,APX,AUB,JHG,NAN,NAN,NWL,CIA,IPH
AIO,AIO,AIO,OZL,AWC,ASX,SHL,SHL,AWC,MGR,MGR,AIO,GMG,SHL,MGR,LLC,DXS,MGR,LLC,AIO,ILU,CFX,ILU,APA,CWN,CWN,CPU,SYD,IPL,IPL,IPL,ILU,WOR,WOR,A2B,SRX,VAH,BCI,BCI,PBG,MGX,PBG,SFR,DLS,SFR,SXL,RFG,MMS,AMM1,BGA,A2B,MSB,SXL,MYX,JHC,HT1,BRG,ASB,GOZ,CVO,SKC,SYR,MYO,SXL,SAI,AHY,ALG,MYO,RFG,APO,BRG,MTR3,GMA,IPH,BRG,AHG,MYR,ECX,SXL,GWA,VVR,PGH,ECX,AOG,ACX,WEB,MTR3,MYX,GXY,MYX,BRG,APO,SIQ,BGA,BIN,GEM,LYC,LYC,NSR,BVS,ABP,VVR,BVS,ING,BVS,CGC,GOZ,NWS,CUV,SUL,INA,SPK,BIN,WEB,APE,OBL,NEA,FBU,JHG,RMS,EML,PRU,PTM,PTM,INA,BIN,IVC,HUB,CMW,NIC,TYR,BGA,GNC
CPU,LLC,SYD,GPT,ASX,AWC,AIO,WES,SHL,DXS,LLC,WES,DXS,MGR,DXS,DXS,ALQ,SYD,SYD,SYD,DXS,ILU,AIO,DXS,AIO,AIO,CWN,DXS,WOR,AIO,RHC,LLC,RHC,RHC,GUD,SKE,SRX,DLS,PBG,SIR,PBG,RRL,HT1,SFR,SXL,OFX,SXL,BRG,MMS,SXL,SXL,AAC,MSB,JHC,BTT,AHY,MND,VRL,BGA,SWM,SYR,MYO,BRG,SYR,NEC,NEC,SFR,SYR,BPT,ACX,RFG,GMA,RFG,SAR,BGA,ECX,ALG,SAR,GWA,ECX,ECX,SIG,AOG,IPH,SDA,MTR3,GUD,GXY,BRG,ABP,APO,SKC,TME,TME,SKC,CNU,NWS,ARB,IPH,SUL,BVS,NAN,BKL,VVR,GEM,SIQ,GEM,BVS,BVS,VVR,CGC,CUV,BKL,CUV,CUV,ING,RSG,NWS,WEB,CIP,CIP,JHG,INA,INA,NIC,CIM,CMW,BGA,BPT,AIA,DRR,AIA,DRR
TAH,TAH,TAH,ILU,GPT,WOR,LLC,GMG,GMG,GMG,GMG,WOR,MGR,DXS,SHL,SYD,AIO,AIO,DXS,LLC,AIO,AIO,DXS,LLC,APA,COH,SHL,APA,SYD,CPU,FMG,RHC,DXS,DXS,CLO,AGI,SKE,BDR,MRM,NST,AGI,NST,GWA,RRL,RRL,RRL,SFR,VRT,BGA,AMM1,AAC,OFX,GUD,BRG,GOZ,WSA,ISD,BRG,BRG,GTY,GUD,JHC,SPK,EHE,EHE,HT1,MYO,BAL,MYO,GUD,SVW,SYR,CGC,GUD,SRX,ABP,SXL,SKC,BPT,SRX,ALG,GXY,MYX,SFR,MTR3,GUD,AOG,SDA,SYR,BRG,MYO,PGH,OML,IPH,OML,ING,MMS,BGA,GUD,NAN,BKL,CLW,NSR,NSR,PTM,GEM,CNU,PNV,VVR,CNU,SUL,ABP,UMG,BKL,WEB,JHG,PTM,VUK,CCP,PRU,INA,CIP,AUB,VEA,SLR,IVC,APX,IVC,BGA,BGA,BGA,VEA,JHG
WES,SYD,QAN,AZJ,AZJ,AZJ,GMG,LLC,LLC,SHL,AIO,SYD,SHL,GMG,AIO,ALQ,SHL,SHL,MGR,DXS,SYD,LLC,SYD,SYD,COH,APA,DXS,CWN,FMG,SYD,CPU,AIO,APA,APA,RCR1,TEN,AGI,GUD,A2B,TEN,BDR,TEN,PIR,HT1,OFX,SXY,GUD,A2B,BRG,GWA,KAR,GWA,MYX,CTD,ISD,BRG,API,FXL,VRL,NWS,GTY,GTY,REG,JHC,GTY,BAL,GTY,GUD,ABP,RFG,BAL,ABP,NXT,CGC,NXT,MND,GMA,IPH,IPH,VVR,MYO,CCP,SFR,WEB,NEC,PGH,MYX,AOG,SUL,MYO,SKC,ABP,MYO,OML,NWS,MMS,GXY,SKC,BVS,NSR,NSR,GOZ,SUL,SUL,CNU,ABC,ABC,AVH,BIN,GOZ,ABC,GUD,CUV,ING,PTM,UMG,SPK,SPK,GOR,NUF,NWL,SLR,WHC,RRL,IPH,IPH,NWS,NWS,JHG,DRR,AIA,NWL,PBH
SYD,OZL,GPT,WOR,WOR,IPL,WES,SYD,AIO,AIO,WES,IPL,AIO,AIO,GMG,SHL,GMG,DXS,AIO,MGR,MGR,DXS,LLC,GPT,SYD,DXS,APA,IPL,SHL,DXS,CWN,APA,LLC,LLC,LNC,TRS,TRS,VAH,VAH,A2B,BCI,MGX,SEA,OFX,GUD,AQP,AAC,JHC,CVO,GUD,CVO,A2B,BGA,VRT,MYX,BRS,WSA,API,AHY,AHY,API,TGR,GMA,BAL,GMA,MYO,GUD,BPT,GWA,MTR3,GMA,MYO,MYO,RFG,SAR,IPH,MND,MYO,ECX,AHG,SRX,MTR3,TME,FBU,GUD,ABP,SIG,SYR,TNE,TME,ABP,OML,SKC,NSR,IPH,SUL,SUL,SUL,NAN,SFR,VVR,PLS,GOZ,BVS,SIQ,BAL,BKL,MMS,ASB,ASB,CTD,BIN,AVH,ASB,BVS,CIP,ASB,AIA,NUF,EML,IPH,WHC,CIP,AIA,BIN,NAN,NAN,BIN,CUV,IVC,AUB,GNC,BGA
WOR,GPT,WOR,ASX,IPL,AGL,SYD,AIO,SYD,SYD,SYD,ASX,WOR,IPL,IPL,AIO,IPL,IPL,SHL,SHL,LLC,SYD,SHL,SHL,DXS,SHL,IPL,WOR,CWN,CWN,AIO,DXS,AIO,AIO,VAH,WPP,DLS,AGI,WPP,BTT,TEN,BDR,RRL,A2B,SKE,GUD,SXY,HT1,KAR,CVO,GUD,VAH,VAH,API,BRG,CTD,VRL,BPT,AAC,GUD,CVO,SXL,CGC,MYO,SXL,ISD,SAI,ALU,MTR3,SKC,SFR,BRG,ORE,SWM,SYR,NEC,GWA,SYR,ALG,ABP,IPH,VVR,ORE,ECX,AOG,TNE,TNE,GEM,ABP,SYR,GXY,TME,NWS,SKC,BGA,IPH,ING,BRG,GOZ,GOZ,SFR,NSR,SFR,GOZ,ASL,PME,BAL,SIQ,SLR,CUV,ASB,PME,SPK,INA,UMG,FBU,CKF,CCP,BKL,PTM,RMS,NWS,ING,IPH,AUB,AUB,NWL,PNV,BKL,JHG,NAN,CKF,VEA
GPT,WES,AWC,AWC,AGL,ILU,AWC,ASX,WES,WES,ASX,GPT,IPL,ASX,GPT,GMG,WOR,GMG,IPL,GPT,IPL,IPL,GPT,MGR,WOR,WOR,AIO,SHL,AIO,APA,APA,CWN,SYD,SYD,RSG,DLS,TEN,WPP,SKE,WPP,AAC,A2B,DLS,PBG,DLS,RFG,SKE,AAC,A2B,PDN,PDN,CTD,A2B,ISD,CTD,CCP,BRS,CTD,TGR,SYR,SXL,SPK,FPH,AHY,BRG,GTY,A2M,SPK,SYR,MYO,GUD,CCP,ABP,SRX,ABP,GMA,SRX,CCP,MTR3,SYR,CCP,ORE,CCP,TME,TNE,AOG,ABP,ABP,AOG,SIQ,SIQ,TNE,CCP,SIQ,ING,SFR,BRG,CCP,SUL,SKC,SKC,NWH,ASB,BKL,NEA,BKL,PME,BAL,GOZ,GOR,BVS,INA,JHG,UMG,SPK,ASB,FBU,ING,SPK,BKL,NWH,IPH,IPH,AUB,PRU,WHC,BIN,NIC,ING,TYR,IVC,IVC,NWL
OZL,WOR,ASX,AGL,CCL,CCL,ASX,WOR,ASX,WOR,WOR,FMG,GPT,WOR,ASX,IPL,ASX,WOR,GPT,IPL,SHL,MGR,WOR,WOR,SHL,IPL,WOR,GPT,DXS,SHL,SYD,SYD,CWN,CWN,AMM1,WTF,WPP,PDN,AGI,AAC,WPP,TOX,CVO,PIR,HT1,AAC,RRL,SXL,TGR,TGR,OFX,BGA,GWA,GOZ,SXL,ISD,TGR,GXL,RFG,SHV,BRS,FPH,GTY,GTY,BAL,EHE,BAL,A2M,A2M,MMS,APO,SVW,MTR3,CCP,GXY,ALU,IPH,GWA,SYR,GMA,MTR3,SXL,VVR,MYX,CCP,IPH,SUL,SIQ,TME,AOG,ORE,BRG,IPH,LYC,APX,BRG,IPH,GOZ,SKC,ING,GOZ,SKC,SKC,SKC,SKC,CNU,CKF,NWH,CNU,BIN,EML,ABC,ABP,GNC,PME,NWL,BGA,UMG,GUD,AUB,NUF,EML,JHG,SBM,AIA,PTM,ING,CGC,CIM,ING,JHG,NUF,NAN
QAN,QAN,AGL,CCL,TCL,TCL,GPT,GPT,WOR,ILU,GPT,AZJ,FMG,GPT,WOR,GPT,GPT,ASX,ILU,WOR,FMG,GPT,MGR,IPL,LLC,GPT,GPT,AIO,APA,LLC,DXS,SHL,SHL,SHL,NXT,A2B,RCR1,SEA,PDN,BDR,BRS,AGI,AGO,AGO,SXY,DLS,PBG,MRM,AAC,A2B,AMM1,AMM1,OFX,SXL,API,BGA,PBG,RFG,ASB,SPK,BRG,AHY,SXL,API,SPK,GUD,GMA,GMA,SPK,CCP,CCP,CGC,GWA,ORE,MYO,SYR,AHG,SXL,APO,MTR3,GWA,IPH,ALG,VVR,TME,SIG,CCP,SUL,SIQ,GWA,PGH,GXY,SWM,NWS,ABP,SKC,GOZ,IPH,GXY,CLW,BGA,BGA,BGA,SFR,SSM,CUV,RSG,NEA,GOR,BKL,ING,CCP,CCP,ABC,ING,BVS,OBL,CKF,AIA,AIA,NWS,NWH,SLR,BIN,PTM,NIC,AIA,AIA,AIA,NUF,RRL,SLR,IVC
